nit,razon_social,tipo_persona,municipio,periodo_fiscal,total_ingresos,total_costos,renta_liquida,impuesto_cargo,saldo_favor,activos_exterior_usd,fecha_presentacion,estado
957593147-0,Empresa AD S.A.S.,  Natural, Neiva,2020-03,27927177,18648201,9278976,3062062,1711667,20461.58,01/12/2024,Presentada
982070495-8,Empresa TB S.A.S.,Natural,ibagué,2020-01,47770202,16213871,31556331,10413589,1032640,28002.4,19/01/2024,En revisión
708123244-6,Empresa DC S.A.S.,NATURAL,Tunja,2023-03,38021327,18877210,19144117,6317558,233418,19761.83,20/03/2024,Aceptada
836698154-4,Empresa YE S.A.S.,JURIDICA,buga,2020-01,43866053,,14108004,4655641,1308909,32401.67,15/03/2024,En revisión
817791789-7,Empresa EB S.A.S., Natural,BUGA,2021-03,38169075,26125564,12043511,3974358,250472,12888.25,Feb 10 2024,Aceptada
809161494-8,Empresa XE S.A.S.,NATURAL,BUGA,2023-03,24667060,12668269,11998791,3959601,1509503,17992.82,28/08/2024,Presentada
887881974-1,Empresa RG S.A.S.,natural,pasto,2022-03,19682174,8693470,10988704,3626272,613770,24995.34,Apr 21 2024,Aceptada
738141178-7,Empresa OE S.A.S.,Natural,BARRANQUILLA,2022-01,31250250,12401361,18848889,6220133,,57682.37,08/11/2024,En revisión
796092551-2,Empresa LB S.A.S.,  Natural,TUNJA,2022-01,46737695,34245179,12492516,4122530,637972,63266.14,15/03/2024,Presentada
733881420-8,Empresa GF S.A.S.,natural,Pasto,2021-01,31475243,11540206,19935037,6578562,785953,69020.27,06/02/2024,En revisión
859664435-4,Empresa KC S.A.S.,JURIDICA, Buga,2023-02,27850734,21629778,6220956,2052915,970185,61661.33,Jun 28 2024,Presentada
749237632-5,Empresa FF S.A.S., Natural,manizales,2023-03,31491412,16496461,,4948333,381946,7232.16,Oct 26 2024,En revisión
768778239-3,Empresa ME S.A.S.,juridica,ARMENIA,2023-03,28946987,9565187,19381800,6395994,137786,2080.77,11/04/2024,Aceptada
914521326-4,Empresa YF S.A.S.,Natural,BUCARAMANGA,2020-01,11757888,9179105,2578783,850998,N/A,55936.67,May 17 2024,Aceptada
724691405-0,Empresa LF S.A.S.,NATURAL,IBAGUE,2022-01,44542785,25236966,19305819,6370920,ninguno,59277.94,10/09/2024,Presentada
879105475-8,Empresa TA S.A.S.,  Natural,Manizales,2021-01,36142404,12738778,23403626,7723196,347569,58739.79,May 10 2024,Rechazada
950683461-8,Empresa EG S.A.S.,  Natural,manizales,2023-03,22992194,13002301,9989893,3296664,1046655,65304.07,03/01/2024,En revisión
741912413-8,Empresa IB S.A.S., Natural,Ibagué ,2023-03,34831976,15986754,18845222,6218923,762212,29126.3,Oct 04 2024,Presentada
970336852-7,Empresa ZD S.A.S.,NATURAL,POPAYAN,2020-02,4206508,1681393,2525115,833287,703855,42257.89,Jul 23 2024,Presentada
932207235-3,Empresa RD S.A.S.,Natural, Armenia,2022-01,30910383,13695602,17214781,5680877,1772076,35171.04,Sep 20 2024,En revisión
795577628-6,Empresa KE S.A.S.,natural,VILLAVICENCIO,2023-03,17503902,11812553,5691349,1878145,350324,27762.09,07/11/2024,Aceptada
998597004-6,Empresa PE S.A.S.,natural,Bogotá D.C.,2022-02,24734830,14270649,10464181,3453179,124141,47763.95,07/02/2024,Presentada
800501582-5,Empresa EA S.A.S., Natural, Ibagué,2023-02,37769756,19150905,18618851,6144220,,30963.23,10/08/2024,En revisión
768205462-9,Empresa IF S.A.S.,  Natural,Cartagena ,2021-01,8093608,3931134,4162474,1373616,,71543.24,16/05/2024,En revisión
985790053-7,Empresa TE S.A.S.,JURIDICA,Armenia,2022-03,15740954,8570315,7170639,2366310,1936432,75144.54,01/06/2024,Aceptada
854015272-2,Empresa UE S.A.S.,  Natural, Cartagena,2023-02,21206045,15301169,5904876,1948609,1139702,55189.49,32/13/2024,Aceptada
702053578-1,Empresa KF S.A.S.,Natural,manizales,2022-02,49506316,25426435,24079881,7946360,N/A,21067.44,02/10/2024,Rechazada
752862987-6,Empresa RC S.A.S., Natural,cúcuta,2020-01,10262712,5425714,4836998,1596209,777732,51055.78,Jun 03 2024,En revisión
983210799-7,Empresa QD S.A.S.,  Juridica, Bucaramanga,2021-01,47967432,14605017,33362415,11009596,130526,59330.43,23/10/2024,Rechazada
980011016-3,Empresa IE S.A.S.,JURIDICA,BOGOTA D.C.,2022-01,3812671,2567961,1244710,410754,335287,32576.55,Jan 13 2024,Presentada
705072800-9,Empresa UA S.A.S., NATURAL, Valledupar,2022-03,10992906,8644568,2348338,774951,445726,78101.43,Dec 06 2024,Aceptada
885284314-1,Empresa XA S.A.S.,Natural, Cali,2022-02,26070430,16731142,9339288,3081965,1006162,73456.22,25/11/2024,Rechazada
784447521-6,Empresa QC S.A.S.,natural,pereira,2020-03,13732049,7487602,6244447,2060667,875433,38094.2,01/01/1900,En revisión
860032438-2,Empresa LG S.A.S.,NATURAL,Villavicencio,2020-03,48509604,37631560,10878044,3589754,99871,64601.27,22/12/2024,En revisión
739261953-6,Empresa WA S.A.S.,  Natural,buga,2020-02,10490913,3704703,6786210,2239449,734282,39022.9,16/08/2024,Aceptada
724368388-3,Empresa SG S.A.S., NATURAL,Neiva,2021-03,42041465,31472282,10569183,3487830,1182639,7396.56,18/08/2024,Aceptada
789977558-8,Empresa CC S.A.S., NATURAL,Popayán ,2021-02,19404129,6513105,12891024,4254037,1519482,58352.73,Jan 27 2024,Aceptada
767128127-7,Empresa NC S.A.S.,NATURAL,VALLEDUPAR,2020-03,22152751,8526969,13625782,4496508,952843,53776.08,10/12/2024,Rechazada
854312593-1,Empresa FD S.A.S., Natural,NEIVA,2022-03,31601109,19522871,12078238,3985818,N/A,62861.71,Sep 15 2024,Aceptada
714118494-5,Empresa YB S.A.S.,natural,POPAYÁN,2020-03,19938722,13627976,6310746,2082546,1861168,58953.46,Apr 12 2024,Aceptada
854144567-5,Empresa RB S.A.S.,NATURAL, Bogotá D.C.,2023-02,45499479,34028466,11471013,3785434,,63261.33,27/06/2024,Aceptada
987157608-8,Empresa OC S.A.S.,  Natural,Buga ,2022-02,39699798,17824149,21875649,7218964,918271,-38237.03,Jul 25 2024,Presentada
748903378-2,Empresa BC S.A.S., NATURAL,cali,2021-01,45649799,28558617,17091182,5640090,1059695,4237.64,Oct 10 2024,En revisión
988956811-6,Empresa MC S.A.S., NATURAL,ibagué,2023-01,15936198,9692546,6243652,2060405,685184,73002.02,06/09/2024,Aceptada
984127990-3,Empresa BG S.A.S., NATURAL, Neiva,2020-03,26970585,12938314,14032271,4630649,1648666,23676.16,18/12/2024,Rechazada
762110246-7,Empresa AC S.A.S.,natural,medellín,2023-03,7674199,3282063,4392136,1449404,1961569,3389.39,Jan 21 2024,Aceptada
972895350-0,Empresa RF S.A.S.,  Juridica,pasto,2020-03,11472779,4982880,6489899,2141666,686451,21608.92,13/06/2024,Rechazada
715698027-7,Empresa ZG S.A.S.,NATURAL,Medellín ,2020-01,36850033,15094707,21755326,7179257,,47227.48,03/08/2024,Presentada
817495058-3,Empresa HD S.A.S.,  Juridica,Ibagué,2022-03,26632052,15673032,10959020,3616476,244434,22477.76,sin fecha,Presentada
734657323-8,Empresa HB S.A.S., NATURAL,tunja,2023-03,22405629,9167198,13238431,4368682,ninguno,65287.7,Sep 03 2024,Rechazada
900186282-6,Empresa MF S.A.S.,Natural,IBAGUE,2020-03,9482140,3826277,5655863,1866434,549335,5586.48,Apr 23 2024,Presentada
995681035-6,Empresa TC S.A.S., Juridica,Cali,2023-02,33290226,25808290,7481936,2469038,1970647,-16183.45,03/08/2024,En revisión
725423956-1,Empresa LD S.A.S.,  Natural,Neiva,2021-03,6821206,3679264,3141942,1036840,645482,24242.03,07/09/2024,Rechazada
972912735-1,Empresa DE S.A.S., JURIDICA,PEREIRA,2023-01,41230016,27019278,14210738,4689543,405578,16700.6,Mar 27 2024,Presentada
805680224-7,Empresa BE S.A.S.,Natural, Neiva,2020-02,2231232,1728969,502263,165746,698753,13749.59,Mar 12 2024,Aceptada
908384141-0,Empresa DD S.A.S., Juridica,Montería ,2020-02,9039494,6301608,2737886,903502,200630,79909.82,Jun 14 2024,En revisión
809161494-8,Empresa XE S.A.S.,NATURAL,BUGA,2023-03,24667060,12668269,11998791,3959601,1509503,17992.82,28/08/2024,Presentada
739335346-5,Empresa KG S.A.S.,juridica, Armenia,2021-03,33847987,14934557,18913430,6241431,N/A,72660.8,Feb 16 2024,Rechazada
750396149-8,Empresa JA S.A.S.,natural,villavicencio,2023-03,5846117,2035763,3810354,1257416,98187,25138.53,Nov 21 2024,Presentada
945330680-9,Empresa UB S.A.S.,JURIDICA,Tunja,2021-02,39874762,14131560,25743202,8495256,1725907,51814.79,05/01/2024,Presentada
702693736-2,Empresa AE S.A.S.,Natural,Santa Marta ,2021-01,,11263176,11247243,3711590,795484,7147.99,02/05/2024,Aceptada
925957751-6,Empresa ZE S.A.S., JURIDICA, Bogotá D.C.,2022-02,38198102,16122678,22075424,7284889,1842458,73495.72,Oct 17 2024,Rechazada
765324364-4,Empresa PD S.A.S.,Natural, Santa Marta,2021-03,49899977,37808809,12091168,3990085,1857982,28796.62,May 07 2024,En revisión
710989657-2,Empresa DA S.A.S., NATURAL,POPAYÁN,2021-01,32321184,23725288,8595896,2836645,1393965,15488.08,22/03/2024,En revisión
968200884-8,Empresa AF S.A.S.,natural,Bucaramanga,2021-03,7354314,3710413,3643901,1202487,683438,43925.7,Mar 14 2024,Presentada
